Accession number	n-region count	h-region count	c-region count	SP type
Q96XC9	2	15	5	SP
Q96XM6	4	17	3	SP
F9VNT9	4	16	5	SP
Q96X87	1	11	7	SP
Q96Y02	6	16	3	SP
Q96Y64	3	17	6	SP
Q96YH6	5	18	6	SP
Q971N5	13	15	3	SP
Q976S2	3	14	4	SP
Q96YH5	3	21	4	SP
Q972G5	4	9	5	SP
Q972S4	3	15	3	SP
F9VMK6	8	19	4	TAT
Q96YC5	3	13	3	SP
Q970I0	3	14	8	SP
Q96XP2	3	14	5	SP
P62021	3	16	3	SP
Q96YJ6	4	10	7	SP
Q96ZW4	3	20	5	SP
Q970C4	0	0	0	SP
F9VNJ0	8	19	5	SP
Q96Y03	3	19	6	SP
F9VNV2	5	17	6	SP
Q973C4	4	14	6	SP
Q96X88	5	11	5	SP
Q96Y82	3	16	7	SP
Q970B4	4	19	5	SP
Q96ZW0	3	14	3	SP
Q96ZB9	9	16	3	SP
Q96XP6	4	19	6	SP
Q96XA2	3	16	5	SP
Q96XB8	6	20	5	SP
F9VNU9	9	22	4	SP
Q96X97	3	12	0	LIPO
Q96YK5	3	8	5	SP
Q970B5	4	17	3	SP
F9VNN5	3	18	7	SP
Q970R1	0	0	0	SP
Q975M8	8	16	5	SP
Q973G3	4	15	3	SP
Q96YH4	4	18	3	SP
Q973K4	2	15	3	SP
Q96ZJ5	10	16	8	TAT
Q96XC1	3	13	4	SP
Q96YT2	3	17	6	SP
Q970J6	3	18	6	SP
Q974A4	0	0	7	SP
Q96ZZ9	3	14	6	SP
Q96X85	3	15	6	SP
Q972X9	5	18	3	TAT
Q976P5	3	15	3	SP
Q96XZ5	3	15	7	SP
Q96YG4	2	20	4	SP
Q973D3	2	10	6	SP
Q973J5	3	15	3	SP
Q96XJ6	18	0	0	PILIN
Q972R1	4	0	0	PILIN
