Accession number	n-region count	h-region count	c-region count	SP type
L0JIB3	5	16	0	TATLIPO
L0JK91	7	15	0	TATLIPO
L0JLC4	10	17	3	TAT
L0JMK9	5	16	5	SP
L0JN93	9	15	0	TATLIPO
L0JSN4	5	15	0	TATLIPO
L0JT27	5	17	3	SP
L0JTY8	7	14	0	TATLIPO
L0JFF9	7	15	0	TATLIPO
L0JMJ2	7	16	0	TATLIPO
L0JNZ7	6	15	14	SP
L0JQP4	10	15	0	TATLIPO
L0JF34	3	16	5	SP
L0JGT4	11	17	0	TATLIPO
L0JL13	1	15	0	LIPO
L0JM43	2	19	0	TATLIPO
L0JNE6	6	19	0	TATLIPO
L0JPS4	8	15	0	TATLIPO
L0JS67	1	13	0	LIPO
L0JIF3	21	16	4	TAT
L0JMA2	28	20	5	TAT
L0JNJ1	16	15	0	TATLIPO
L0JFG4	7	16	4	TAT
L0JG22	2	17	6	SP
L0JHL6	0	16	5	TATLIPO
L0JL89	7	15	0	TATLIPO
L0JNN6	5	15	0	TATLIPO
L0JR14	5	15	4	TAT
U3GLG1	12	16	0	TATLIPO
L0JIB9	8	14	0	TATLIPO
L0JIM6	17	15	0	TATLIPO
L0JJB2	5	15	0	TATLIPO
L0JG30	5	17	5	TAT
L0JIF8	12	16	0	TATLIPO
L0JK18	34	16	4	TAT
L0JQ93	25	15	0	TATLIPO
L0JKP0	8	14	0	TATLIPO
L0JMN8	16	17	6	SP
L0JMX2	8	15	0	TATLIPO
L0JR85	13	17	3	SP
L0JMW9	6	17	5	TAT
L0JN37	7	16	0	TATLIPO
L0JNC3	7	13	5	SP
L0JNK4	2	12	0	LIPO
L0JNW5	7	17	8	SP
L0JQM5	5	15	0	TATLIPO
L0JT49	4	16	8	SP
L0JTW6	16	14	0	TATLIPO
L0JHR6	5	13	10	SP
L0JII5	28	15	0	TATLIPO
L0JKI2	3	15	0	LIPO
L0JLU5	8	15	0	TATLIPO
L0JP02	10	15	0	TATLIPO
L0JR38	13	18	5	TAT
L0JT77	5	15	0	TATLIPO
L0JI64	8	15	0	TATLIPO
L0JIN6	10	17	2	TAT
L0JMP3	4	17	0	LIPO
L0JPA0	5	18	2	TAT
L0JPI2	11	16	0	TATLIPO
L0JIC4	7	15	0	TATLIPO
L0JIU1	2	15	0	LIPO
L0JJV8	22	16	0	TATLIPO
L0JNV3	7	19	0	LIPO
L0JP94	2	12	0	LIPO
L0JS59	19	15	0	TATLIPO
L0JGI1	9	17	4	SP
L0JH42	3	16	8	SP
L0JJU1	31	15	0	TATLIPO
L0JMG7	5	15	0	TATLIPO
L0JR46	10	13	7	TAT
L0JRF1	3	15	0	LIPO
L0JT79	5	20	5	SP
L0JI83	11	16	0	TATLIPO
L0JMI2	5	15	0	TATLIPO
L0JND7	23	16	0	TATLIPO
L0JPQ8	17	15	0	TATLIPO
L0JQ08	25	23	5	TAT
L0JR23	1	14	0	LIPO
