Accession number	n-region count	h-region count	c-region count	SP type
A0A1V6N1F5	4	15	5	SP
A0A1V6N2S2	2	10	7	SP
A0A1V6N3R4	6	15	4	SP
A0A1V6N427	10	16	0	LIPO
A0A1V6N1P4	4	17	5	SP
A0A1V6N1U7	8	16	6	SP
A0A1V6N2K1	3	11	5	SP
A0A1V6N3D3	2	9	3	SP
A0A1V6N3Q5	14	17	5	SP
A0A1V6N018	7	17	5	SP
A0A1V6N0R9	16	18	5	SP
A0A1V6N108	6	18	5	SP
A0A1V6N310	2	11	6	SP
A0A1V6N382	6	18	5	SP
A0A1V6N3X7	4	14	7	SP
A0A1V6N430	3	16	5	SP
A0A1V6N0V3	2	12	5	SP
A0A1V6N1R3	6	17	5	SP
A0A1V6N3Z7	4	20	3	SP
A0A1V6N401	5	13	4	SP
A0A1V6N4C5	3	13	6	SP
A0A1V6N069	13	14	9	LIPO
A0A1V6N0S0	4	16	6	SP
A0A1V6N2M4	6	18	5	SP
A0A1V6N319	4	14	5	SP
A0A1V6N3S5	7	16	4	SP
A0A1V6N406	8	18	5	SP
A0A1V6N4B7	5	14	5	SP
A0A1V6N545	4	15	5	SP
A0A1V6N0E7	14	19	5	SP
A0A1V6N1C8	12	15	5	SP
A0A1V6N1C9	11	16	4	SP
A0A1V6N2E4	2	9	5	SP
A0A1V6N2W6	2	10	5	SP
A0A1V6N3A2	5	15	5	SP
A0A1V6N3A5	16	18	5	SP
A0A1V6N3L0	7	15	5	SP
A0A1V6N3P5	4	15	6	SP
A0A1V6N199	5	16	4	SP
A0A1V6N2S8	9	18	5	SP
A0A1V6N2V9	7	16	5	SP
A0A1V6N2Z5	8	17	7	SP
A0A1V6N3E8	5	17	7	SP
A0A1V6N4D1	2	9	5	SP
A0A1V6N074	13	16	5	SP
A0A1V6N170	2	6	5	SP
A0A1V6N1U4	1	5	5	SP
A0A1V6N2M2	3	16	6	SP
A0A1V6N3W3	3	14	8	SP
A0A1V6N3Y4	1	9	4	SP
A0A1V6N429	5	17	4	SP
A0A1V6N541	10	16	4	SP
A0A1V6N1G4	6	18	5	SP
A0A1V6N1T1	10	16	3	SP
A0A1V6N3N6	3	10	5	SP
A0A1V6N466	7	16	5	SP
A0A1V6N478	2	11	5	SP
A0A1V6N151	9	17	5	SP
A0A1V6N1J9	5	15	5	SP
A0A1V6N2I7	6	18	5	SP
A0A1V6N2K8	6	18	5	SP
A0A1V6N3V8	2	11	5	SP
A0A1V6N4M6	4	15	5	SP
A0A1V6MZY1	6	18	5	SP
A0A1V6N125	7	16	0	LIPO
A0A1V6N0A1	13	19	5	SP
A0A1V6N1E6	16	18	5	SP
A0A1V6N4F0	16	18	5	SP
A0A1V6N5D5	5	17	6	SP
A0A1V6N1L6	9	18	4	SP
A0A1V6N3W8	4	14	4	SP
A0A1V6N4C1	2	10	4	SP
A0A1V6N5A5	11	18	6	SP
A0A1V6MZZ4	2	14	5	SP
A0A1V6N0E9	13	15	5	SP
A0A1V6N164	4	14	5	SP
A0A1V6N1G7	7	13	7	SP
A0A1V6N1Z7	6	18	5	SP
A0A1V6N293	2	9	8	SP
A0A1V6N2K9	4	16	0	LIPO
A0A1V6N364	2	11	4	SP
A0A1V6N0T4	9	19	5	SP
A0A1V6N118	16	18	5	SP
A0A1V6N2M3	11	16	4	SP
A0A1V6N3D2	20	15	4	LIPO
A0A1V6N3M7	13	15	5	SP
A0A1V6N422	3	16	5	SP
A0A1V6N4E9	24	19	5	SP
A0A1V6N4S5	16	18	5	SP
A0A1V6N0H4	16	18	5	SP
A0A1V6N0S6	7	17	3	SP
A0A1V6N195	3	15	5	SP
A0A1V6N1B9	4	16	5	SP
A0A1V6N1D9	6	19	5	SP
A0A1V6N1I2	11	14	4	SP
A0A1V6N3L5	29	17	6	SP
A0A1V6N3V4	7	17	4	SP
A0A1V6MZQ0	6	18	5	SP
A0A1V6N1H5	7	16	5	SP
A0A1V6N3H2	6	16	5	SP
A0A1V6N3N3	6	15	5	SP
A0A1V6N5D9	9	15	5	SP
A0A1V6N2B9	4	15	5	SP
A0A1V6N5D0	6	19	5	SP
A0A1V6MZT0	5	18	6	LIPO
A0A1V6N137	5	21	6	SP
A0A1V6N2A0	8	17	5	SP
A0A1V6N308	6	15	5	SP
A0A1V6N3E3	2	12	5	SP
A0A1V6N3W9	6	15	5	SP
A0A1V6N416	7	15	4	SP
A0A1V6N491	3	19	4	SP
A0A1V6N057	21	17	5	SP
A0A1V6N207	5	16	5	SP
A0A1V6N3L3	5	15	5	SP
