Accession number	n-region count	h-region count	c-region count	SP type
Q5UYE2	9	18	6	TAT
Q5V084	3	16	0	LIPO
Q5V1G2	3	17	0	LIPO
Q5V539	3	15	0	LIPO
Q5V6P9	8	15	0	TATLIPO
Q5V7K4	2	20	5	SP
Q5UWQ4	26	15	0	TATLIPO
Q5UX11	5	21	6	SP
Q5V113	9	16	4	TAT
Q5V393	5	17	3	SP
Q5V3M6	5	15	0	TATLIPO
Q5V5D1	3	14	0	LIPO
Q5V5H4	11	16	0	TATLIPO
Q5V6X7	38	16	4	TAT
Q5V7L6	1	9	11	SP
Q5V7N8	3	15	5	SP
Q5UXE2	24	16	7	SP
Q5UYR2	4	17	5	SP
Q5V0Q7	16	15	0	TATLIPO
Q5V1F8	2	10	13	SP
Q5V295	5	15	0	TATLIPO
Q5V4N2	2	8	7	SP
Q5V5I5	5	15	0	TATLIPO
Q5V5U4	2	15	0	LIPO
Q5UWW7	2	17	0	LIPO
Q5UXP0	7	15	0	TATLIPO
Q5V289	5	14	0	LIPO
Q5V548	15	16	0	TATLIPO
Q5V5K9	11	15	9	SP
Q5UZ68	26	15	0	TATLIPO
Q5UZ94	14	18	0	TATLIPO
Q5V047	8	19	10	SP
Q5V2E7	6	19	4	SP
Q5V6A1	12	15	0	TATLIPO
F2Z6I3	20	16	3	TAT
Q5UWV9	3	25	0	LIPO
Q5UXR3	2	9	4	SP
Q5UXT0	14	18	0	TATLIPO
Q5UY31	5	15	0	TATLIPO
Q5UY99	8	17	5	SP
Q5V2I8	16	18	5	TAT
Q5V3R9	2	6	5	SP
Q5V4C6	20	17	6	SP
Q5UY24	9	14	0	TATLIPO
Q5UY48	4	17	7	SP
Q5UYN5	11	15	0	TATLIPO
Q5V555	4	15	6	SP
Q5V725	5	18	0	TATLIPO
Q5UWQ3	9	15	0	TATLIPO
Q5UXI4	12	16	4	TAT
Q5UXU7	24	15	0	TATLIPO
Q5UZS0	13	15	0	TATLIPO
Q5V284	2	14	0	LIPO
Q5V4N1	6	12	0	TATLIPO
Q5V708	13	13	6	SP
F2Z6B0	6	19	5	SP
Q5UWP4	27	19	6	TAT
Q5V4X9	11	16	0	TATLIPO
Q5V612	22	15	0	TATLIPO
Q5UXA7	3	14	0	LIPO
Q5UYP0	5	14	0	TATLIPO
Q5UZ44	4	15	5	SP
Q5UZM8	54	14	1	TAT
Q5UZY4	7	16	0	TATLIPO
Q5V036	2	15	6	SP
Q5V4X3	6	15	0	TATLIPO
Q5V759	2	6	8	SP
Q5V808	14	18	5	SP
Q5UWQ2	32	15	0	TATLIPO
Q5UXF6	4	12	0	LIPO
Q5V054	5	15	0	TATLIPO
Q5V3S1	10	15	0	TATLIPO
Q5V400	8	17	3	TAT
Q5V424	5	19	4	TAT
Q5V5X8	17	14	0	TATLIPO
Q5V718	6	15	7	SP
Q5UXE3	6	16	4	SP
Q5UY79	23	16	4	TAT
