Accession number	n-region count	h-region count	c-region count	SP type
A0A060HD33	3	21	5	SP
A0A060HFU0	12	16	6	SP
A0A060HHH7	23	20	4	SP
A0A060HJR8	2	19	5	SP
A0A060HLB2	8	14	4	SP
A0A060HR06	4	21	5	SP
A0A060HFX5	5	15	8	SP
A0A060HIC8	14	24	8	SP
A0A060HJ18	2	20	3	SP
A0A060HPH4	3	18	6	SP
A0A060HTW1	3	15	7	SP
A0A060HU36	5	24	7	SP
A0A060HMN4	2	18	8	SP
A0A060HJ62	7	22	3	SP
A0A060HLH9	9	20	6	SP
A0A060HMA6	25	16	7	SP
A0A060HQK3	7	22	11	SP
A0A060HVH5	11	20	6	SP
A0A060HIM5	22	18	6	SP
A0A060HJH3	4	18	6	SP
A0A060HK31	15	21	5	SP
A0A060HRB0	8	16	13	SP
A0A060HFJ3	9	22	6	SP
A0A060HFY0	4	19	4	SP
A0A060HHP9	4	18	12	SP
A0A060HJ83	5	16	6	SP
A0A060HKV8	5	17	14	SP
A0A060HM57	4	19	6	SP
A0A060HQJ3	8	20	11	SP
A0A060HQZ1	13	20	7	SP
A0A060HBX9	5	20	4	SP
A0A060HF41	9	20	9	SP
A0A060HFS2	3	18	7	SP
A0A060HFT5	9	23	6	SP
A0A060HKD1	8	20	6	SP
A0A060HPM6	3	12	4	SP
A0A060HR58	3	17	6	SP
A0A060HHY1	10	22	6	SP
A0A060HMA0	4	23	5	SP
A0A060HP35	13	21	5	SP
A0A060HQL6	3	10	5	SP
A0A060HQX2	6	23	5	SP
A0A060HG03	4	17	5	SP
A0A060HII2	3	16	4	SP
A0A060HMV5	15	22	6	SP
A0A060HP15	2	8	6	SP
A0A060HBX4	7	17	9	SP
A0A060HMG2	5	17	10	SP
A0A060HML8	15	30	5	TAT
A0A060HN34	31	17	3	SP
A0A060HNM5	10	20	6	SP
A0A060HPD3	16	21	6	SP
A0A060HUM0	3	18	7	SP
A0A060HIG2	3	17	11	SP
A0A060HM78	4	15	5	SP
A0A060HM82	11	20	7	SP
A0A060HNA3	3	10	6	SP
A0A060HR63	7	15	3	SP
A0A060HEA4	3	19	5	SP
A0A060HFB7	5	14	7	SP
A0A060HGV4	2	18	3	SP
A0A060HLG1	14	20	7	SP
A0A060HQS9	3	20	7	SP
A0A060HSX5	3	18	11	SP
A0A060HFH9	9	22	6	SP
A0A060HQ44	2	18	6	SP
A0A060HU64	2	14	4	SP
A0A060HI32	8	20	6	SP
A0A060HIM2	3	16	6	SP
A0A060HJ34	2	16	3	SP
A0A060HK45	5	15	4	SP
A0A060HL55	10	22	3	SP
A0A060HLW8	7	17	6	SP
A0A060HR07	3	28	6	SP
A0A060HRC9	10	21	7	SP
A0A060HRP6	11	19	6	SP
A0A060HSR5	17	19	6	SP
A0A060HTK4	3	13	11	SP
A0A060HTW6	5	16	5	SP
A0A060HCW8	4	15	5	SP
A0A060HIX8	14	17	8	SP
A0A060HJ28	7	21	7	SP
A0A060HL68	6	17	4	SP
A0A060HRL8	7	24	6	SP
A0A060HTE5	11	18	11	SP
A0A060HTK8	8	19	6	SP
A0A060HG05	11	20	5	SP
A0A060HN19	30	15	7	SP
A0A060HN61	16	15	8	SP
A0A060HFQ5	2	25	4	SP
A0A060HIU4	9	19	4	SP
A0A060HMC7	7	17	10	SP
A0A060HPV9	4	18	5	SP
A0A060HCN6	2	9	8	SP
A0A060HHS4	0	16	12	LIPO
A0A060HJW9	2	18	7	SP
A0A060HK41	4	18	9	SP
A0A060HKX3	3	21	10	SP
A0A060HU96	8	19	7	SP
A0A060HVB2	9	25	5	SP
A0A060HVB6	16	19	5	SP
A0A060HFX6	7	19	5	SP
A0A060HKJ2	3	17	5	SP
A0A060HL15	14	19	6	SP
A0A060HNN3	16	20	5	SP
A0A060HSP0	8	18	7	SP
A0A060HHB9	8	20	7	SP
A0A060HKG3	0	0	6	SP
A0A060HLV5	11	19	5	SP
A0A060HPB7	8	19	5	SP
A0A060HRH6	9	20	5	SP
A0A060HRP7	20	20	6	SP
A0A060HSC1	3	21	5	SP
A0A060HT77	6	18	4	SP
A0A060HBZ2	6	19	6	SP
A0A060HCA9	8	20	7	SP
A0A060HJU0	7	21	6	SP
A0A060HL26	5	19	5	SP
A0A060HML6	15	13	6	SP
A0A060HNU9	11	21	5	SP
A0A060HQP9	2	15	6	SP
A0A060HRU6	20	18	3	TAT
A0A060HF44	6	12	5	SP
A0A060HF89	0	0	0	SP
A0A060HGN6	3	9	6	SP
A0A060HH01	3	16	8	SP
A0A060HH93	4	20	6	SP
A0A060HIZ9	8	18	7	SP
A0A060HN06	6	16	7	SP
A0A060HNZ2	3	10	10	SP
A0A060HQ49	15	19	5	SP
A0A060HU76	9	20	5	SP
A0A060HUJ1	3	15	4	SP
A0A060HHE5	2	20	5	SP
A0A060HHJ6	17	16	13	SP
A0A060HI36	7	22	5	SP
A0A060HIA8	2	7	6	SP
A0A060HLY5	16	20	5	SP
A0A060HR03	25	19	6	SP
A0A060HR68	3	15	5	SP
A0A060HS25	0	0	5	SP
A0A060HUR1	3	18	7	SP
A0A060HFK5	3	23	5	SP
A0A060HFT4	12	16	6	SP
A0A060HHH3	2	18	5	SP
A0A060HPD9	4	21	4	SP
A0A060HW67	5	17	12	SP
A0A060HE62	11	12	12	SP
A0A060HFV1	19	18	3	TAT
A0A060HGA7	5	15	5	SP
A0A060HJ23	2	15	7	SP
A0A060HK50	6	17	7	SP
A0A060HDR9	2	14	14	SP
A0A060HM93	11	18	6	SP
A0A060HE98	5	20	6	SP
A0A060HKP0	4	20	5	SP
A0A060HG96	18	20	6	SP
A0A060HHB6	6	18	6	SP
A0A060HPJ7	3	12	4	SP
A0A060HTG3	12	18	7	SP
A0A060HTW9	6	21	7	SP
A0A060HJ39	6	18	5	SP
A0A060HK32	12	20	7	SP
A0A060HL78	5	23	5	SP
A0A060HNF7	10	23	8	SP
A0A060HQ73	3	14	5	SP
A0A060HRI6	2	4	5	SP
A0A060HS57	22	23	5	SP
A0A060HUE1	3	30	7	SP
A0A060HVN7	5	20	5	SP
A0A060HGG2	3	18	7	SP
A0A060HP93	14	22	5	SP
A0A060HP97	2	12	5	SP
A0A060HS03	18	20	7	SP
A0A060HST9	6	18	5	SP
A0A060HFG1	3	17	6	SP
A0A060HGE5	6	22	6	SP
A0A060HQP3	5	18	3	SP
A0A060HU39	2	9	4	SP
A0A060HNS8	18	0	0	PILIN
A0A060HME2	5	0	0	PILIN
A0A060HIQ3	12	0	0	PILIN
A0A060HIR5	6	0	0	PILIN
E6N2Q3	12	16	3	SP
E6N2W5	3	15	0	LIPO
E6P9F5	3	14	5	SP
E6P9H0	0	13	5	LIPO
E6N4I2	5	12	9	SP
E6N5P6	3	15	4	SP
E6N5X6	12	26	7	TAT
E6N5Y5	2	17	4	SP
E6N7T2	4	25	4	SP
E6N962	6	17	3	SP
E6N7A5	16	15	3	SP
Q4LEE1	7	13	5	SP
E6N575	3	12	4	SP
E6N5G4	4	13	5	SP
E6N447	12	13	4	SP
E6N4N3	12	19	5	TAT
E6N948	2	15	0	LIPO
E6N2Q5	5	19	5	TAT
E6N478	11	18	4	TAT
E6N4X9	18	13	0	LIPO
E6N514	23	19	5	SP
E6N2P9	14	16	5	SP
E6N3B6	3	12	4	SP
E6N3Z2	2	5	3	SP
E6N4M7	20	15	5	SP
E6P9G8	3	11	10	SP
E6N4N0	7	15	3	SP
Q4LEE7	3	12	4	SP
E6N2V9	3	12	4	SP
E6N4Q9	4	13	5	SP
E6N641	2	19	3	SP
E6N7M0	5	16	5	TAT
E6N9G0	7	15	5	SP
E6PBD4	3	17	3	SP
E6N476	6	17	0	TATLIPO
E6N4G7	6	17	3	SP
E6N4I1	4	19	7	SP
E6N668	10	16	5	SP
E6N778	3	14	5	SP
E6N491	4	16	4	SP
