Accession number	n-region count	h-region count	c-region count	SP type
A0A031LM77	8	15	5	SP
A0A031LMJ5	3	13	4	SP
A0A031LKT6	3	15	3	SP
A0A031LPJ4	3	16	4	SP
A0A031LRD8	5	15	6	SP
A0A031LK26	4	12	8	SP
A0A031LMX4	3	17	8	SP
A0A031LR53	5	20	3	SP
A0A031LTV5	3	14	3	SP
A0A031LP87	3	10	8	SP
A0A031LJA3	16	16	3	SP
A0A031LQ28	2	8	4	SP
A0A031LTL5	4	21	7	SP
A0A031LPS9	2	11	13	SP
A0A031LN62	7	17	8	SP
A0A031LNE7	3	12	8	SP
A0A031LTX7	21	14	3	SP
A0A031LRK7	3	15	4	SP
A0A031LSR2	3	13	6	SP
A0A031LPG9	17	18	5	TAT
A0A031LSI3	2	11	4	SP
A0A031LNP9	4	19	4	SP
A0A031LS62	3	15	6	SP
A0A031LKF3	8	20	5	SP
A0A031LLD2	5	20	6	SP
A0A031LLJ4	2	18	4	SP
A0A031LNZ6	7	16	6	SP
A0A031LPR7	3	18	3	SP
A0A031LTZ3	1	5	7	SP
A0A031LKT1	3	17	3	SP
A0A031LM58	4	14	4	SP
A0A031LP94	5	14	5	SP
A0A031LS89	2	15	8	SP
A0A031LIS8	4	16	7	SP
A0A031LJ66	9	16	5	TAT
A0A031LKD0	10	21	3	TAT
A0A031LM70	13	21	7	TAT
A0A031LSZ9	2	12	5	SP
A0A031LVG7	4	17	3	SP
A0A031LQ26	4	20	12	SP
A0A031LR88	2	15	5	SP
A0A031LUH4	3	15	4	SP
A0A031LRK4	3	9	10	SP
A0A031LUI2	5	18	8	SP
A0A031LSB8	5	12	4	SP
