Accession number	n-region count	h-region count	c-region count	SP type
A0A5B9D8Y0	6	16	4	SP
A0A5B9DFH5	4	14	7	SP
A0A5B9DAW7	4	18	5	SP
A0A5B9DEC9	3	19	6	SP
A0A5B9DF21	31	18	6	SP
A0A5B9DG90	10	20	4	SP
A0A5B9D9G8	3	15	10	SP
A0A5B9DED3	6	17	9	SP
A0A5B9DG25	0	15	6	LIPO
A0A5B9D5L5	7	17	5	SP
A0A5B9D6B4	6	16	6	SP
A0A5B9DC36	19	13	5	SP
A0A5B9DCG3	4	17	5	SP
A0A5B9DDC9	5	19	4	SP
A0A5B9D9U6	6	17	5	SP
A0A5B9DC93	9	16	3	SP
A0A5B9DCA6	9	16	5	SP
A0A5B9D5R5	7	20	4	SP
A0A5B9D6B2	7	18	6	SP
A0A5B9D6X0	11	16	5	SP
A0A5B9DGV9	33	16	5	SP
A0A5B9D764	3	17	5	SP
A0A5B9DE92	12	18	5	SP
A0A5B9D625	9	14	4	SP
A0A5B9D7Z9	2	19	6	SP
A0A5B9DBV4	8	15	5	SP
A0A5B9D577	4	17	6	SP
A0A5B9D8E5	7	18	5	SP
A0A5B9DDM4	6	18	3	SP
A0A5B9DBD2	10	13	11	SP
A0A5B9DBH3	6	12	0	LIPO
A0A5B9DBX2	5	19	4	SP
A0A5B9DDQ6	2	12	7	SP
A0A5B9DFL9	6	14	10	SP
A0A5B9DG14	8	18	3	SP
A0A5B9DGI6	0	0	0	LIPO
A0A5B9DHC3	9	16	4	SP
A0A5B9DBW4	4	17	7	SP
A0A5B9DAD4	4	13	8	SP
A0A5B9DDE1	5	16	5	SP
A0A5B9DF40	16	16	5	SP
A0A5B9DBT8	9	15	0	LIPO
A0A5B9DCU3	0	17	9	LIPO
A0A5B9DES8	8	18	5	SP
A0A5B9D5M1	16	16	5	SP
A0A5B9D7N8	6	18	5	SP
A0A5B9DDE0	27	19	7	SP
A0A5B9D9T5	6	18	5	SP
A0A5B9DC46	6	20	5	SP
A0A5B9DDZ8	6	17	0	LIPO
A0A5B9DB13	5	14	5	SP
A0A5B9DCX7	26	14	7	SP
A0A5B9DFE6	4	18	6	SP
A0A5B9D851	5	17	5	SP
A0A5B9DFC8	3	15	9	SP
A0A5B9D5H6	8	14	0	LIPO
A0A5B9DCI9	7	15	17	SP
A0A5B9DCU6	2	11	5	SP
A0A5B9DEJ9	12	19	5	SP
A0A5B9DEG8	5	16	5	SP
A0A5B9DFF6	5	15	5	SP
A0A5B9D7J1	18	16	5	SP
A0A5B9DA23	6	14	3	SP
A0A5B9DAH3	3	18	7	SP
A0A5B9DFP3	18	17	5	SP
A0A5B9D878	3	20	7	SP
A0A5B9DCH7	34	13	6	SP
A0A5B9DDQ8	7	15	3	SP
A0A5B9DDS4	3	19	5	SP
A0A5B9DEI0	4	20	0	LIPO
A0A5B9DAN1	18	20	5	SP
A0A5B9DB30	7	17	5	SP
A0A5B9DCC9	8	17	4	SP
A0A5B9DDF3	8	15	7	SP
A0A5B9DB24	9	17	7	SP
A0A5B9DGZ7	23	20	5	SP
A0A5B9D5Y6	3	15	0	LIPO
A0A5B9D8Z7	5	17	5	SP
A0A5B9DGA7	4	11	8	SP
A0A5B9DAS2	9	18	5	SP
A0A5B9DCP9	4	17	7	SP
A0A5B9DD86	8	18	4	SP
A0A5B9DDA5	6	18	3	SP
A0A5B9DDK8	9	15	3	SP
A0A5B9D6Y5	26	17	7	SP
A0A5B9DCJ9	6	19	5	SP
A0A5B9DCW9	13	16	0	LIPO
A0A5B9DE30	23	17	0	LIPO
A0A5B9DG64	19	14	8	SP
A0A5B9DEM6	4	15	7	SP
A0A5B9DF00	4	18	4	SP
A0A5B9DAZ4	7	16	6	SP
A0A5B9DE24	6	16	7	SP
A0A5B9DET2	4	17	5	SP
A0A5B9DEY5	3	16	0	LIPO
A0A5B9D8S6	2	14	4	SP
A0A5B9DG43	5	17	6	SP
A0A5B9DEC4	7	13	9	SP
A0A5B9D5K5	1	8	5	SP
A0A5B9D725	2	10	6	SP
A0A5B9D7Q2	7	18	5	SP
A0A5B9D7T0	8	18	4	SP
A0A5B9D932	8	15	9	SP
A0A5B9DCY5	4	19	0	LIPO
A0A5B9DEA9	4	18	5	SP
A0A5B9D9B5	4	18	7	SP
A0A5B9DCT7	4	15	0	LIPO
A0A5B9DE11	0	16	9	LIPO
A0A5B9DH62	2	9	3	SP
A0A5B9D9S0	4	18	4	SP
A0A5B9DED0	2	14	8	SP
A0A5B9D5B7	8	15	9	SP
A0A5B9D8A0	7	17	6	SP
A0A5B9DEC6	4	19	0	LIPO
