Accession number	n-region count	h-region count	c-region count	SP type
A0A0N8P1W4	2	16	6	SP
A0A0P8Y3P2	4	20	0	LIPO
A0A0P8YI63	3	14	3	SP
A0A0P8YI37	4	18	6	SP
A0A0P8Y0Z4	2	16	3	SP
A0A0P9A2Z6	3	10	5	SP
A0A0P8YJ94	2	17	4	SP
A0A0P9AWE8	2	11	4	SP
A0A0P8Y2Y0	3	17	5	SP
A0A0P8Y3Z6	10	18	4	SP
A0A0P9CDU8	4	13	5	SP
A0A0N8P200	2	9	6	SP
A0A0N8P206	2	16	6	SP
A0A0P8YIY7	5	19	7	SP
A0A0P9A439	4	19	6	SP
A0A0P9CED1	3	16	4	SP
A0A0P8Y231	3	14	6	SP
A0A0P8Y2R9	3	14	6	SP
A0A0P8Y3K0	3	16	5	SP
A0A0P8Y494	4	13	6	SP
S2E1C3	10	15	5	SP
S2E2S2	1	2	5	SP
S2E4G1	6	16	5	SP
S2E565	16	16	6	SP
S2E6I5	9	13	4	SP
S2E778	2	19	6	SP
S2E7N1	5	12	6	SP
S2E7R2	3	16	8	SP
S2ERX8	1	13	5	SP
S2E0T3	1	6	5	SP
S2E4R7	4	17	9	SP
S2E6H0	2	8	5	SP
S2E7M0	9	21	7	SP
S2EI70	2	3	7	SP
S2EMQ1	3	18	9	SP
S2E0H8	2	17	5	SP
S2E4A0	5	18	5	SP
S2E550	3	14	5	SP
S2EPE7	2	9	5	SP
S2EQ73	27	18	5	SP
S2EQH7	4	15	7	SP
S2EWZ0	2	14	6	SP
S2E2S0	3	17	6	SP
S2E4Q9	14	18	4	SP
S2EP32	2	15	7	SP
S2E0X5	5	15	5	SP
S2E4W8	4	19	4	SP
S2E689	7	20	7	SP
S2E6D8	2	18	3	SP
S2E6T1	3	13	5	SP
S2EA55	2	15	6	SP
S2EI24	2	14	6	SP
S2EM79	2	5	5	SP
S2E4R5	2	6	5	SP
S2E6K2	5	20	7	SP
S2EP76	3	14	7	SP
S2EQV0	21	12	5	SP
S2EWU6	2	18	5	SP
S2EX42	7	16	6	SP
S2E0B1	2	16	4	SP
S2EHS0	2	19	5	SP
S2EIP7	5	18	6	SP
S2EQJ1	2	14	4	SP
S2ETF1	2	8	5	SP
S2EUW8	6	15	10	SP
S2E0I1	2	15	8	SP
S2EAT4	3	18	7	SP
S2EPX7	4	14	5	SP
S2ERB7	2	14	5	SP
S2ETC0	2	4	5	SP
S2EWF9	3	10	5	SP
S2DZL2	3	14	5	SP
S2E6B4	2	17	4	SP
S2E9D3	3	16	7	SP
S2EBQ0	2	19	7	SP
S2EP93	7	24	5	SP
S2ER50	3	17	8	SP
S2E386	2	16	6	SP
S2ENS8	2	13	5	SP
S2E6N5	2	15	5	SP
S2EUV0	3	16	0	LIPO
S2EVS0	12	15	4	SP
S2EX67	3	20	7	SP
S2E0D0	5	19	5	SP
S2E4J4	1	5	6	SP
S2E4U9	3	19	4	SP
S2EU77	4	21	5	SP
S2EX54	5	13	5	SP
S2DZE9	3	16	7	SP
S2E1R7	10	16	5	SP
S2E671	3	17	7	SP
S2EMJ0	4	19	3	SP
S2EX34	3	13	5	SP
S2E4W9	6	15	6	SP
S2E5R1	3	14	6	SP
S2EPG5	2	14	11	SP
S2EQQ8	6	15	6	SP
S2DZ67	3	18	7	SP
S2EQM7	3	19	6	SP
S2EUS5	5	14	6	SP
S2EP98	3	19	5	SP
S2E1U1	5	15	6	SP
S2E392	5	14	5	SP
S2E4N0	8	15	5	SP
S2E7E9	2	11	4	SP
S2EUZ3	1	2	4	SP
S2E1B9	3	13	4	SP
S2E4D1	2	17	7	SP
S2EQJ5	3	19	5	SP
S2EQR8	16	15	6	SP
S2E5S5	9	16	7	SP
S2E5Z5	1	4	4	SP
S2E7J4	4	17	5	SP
S2E9T6	3	15	6	SP
S2ELU0	2	14	3	SP
S2E4U0	16	17	5	SP
S2EP88	2	15	8	SP
S2EQN0	3	17	5	SP
S2ETQ9	2	20	5	SP
S2EVK0	2	15	6	SP
S2EX72	1	9	7	SP
S2E0Z5	5	15	14	SP
S2E4L4	2	14	3	SP
S2E6H5	3	13	4	SP
S2ER75	6	21	5	SP
S2E445	3	13	5	SP
S2E7Q9	5	15	5	SP
S2E6A7	2	14	4	SP
S2E7Q3	2	13	6	SP
S2E9R1	7	17	6	SP
S2EAB5	2	14	6	SP
S2EBP6	10	12	7	SP
S2ESX6	4	17	6	SP
S2EX20	2	14	6	SP
S2E0D3	3	17	4	SP
S2E4B6	10	16	5	SP
S2E8M9	2	15	5	SP
S2EHX4	1	12	6	SP
S2EIF4	16	24	6	TAT
S2EPJ2	3	16	3	SP
S2EQI7	2	7	5	SP
S2ETG3	2	10	7	SP
S2EUW0	3	17	0	LIPO
S2DZZ4	2	17	7	SP
S2E466	5	15	6	SP
S2E6R3	1	7	6	SP
S2E6Z6	5	15	4	SP
S2DYL4	3	14	6	SP
S2DYN7	3	15	5	SP
S2E017	4	16	4	SP
S2E100	4	19	5	SP
S2E1K0	3	19	6	SP
S2E243	4	18	4	SP
S2E4S8	2	17	3	SP
S2EQX0	3	13	5	SP
S2ERQ8	15	18	6	SP
S2E123	3	16	6	SP
S2EVR4	14	0	0	PILIN
S2ELK5	3	0	0	PILIN
S2EPE1	12	0	0	PILIN
S2EVP6	14	0	0	PILIN
S2E554	14	0	0	PILIN
A0A447G1Z9	4	19	5	SP
A0A447G2I1	2	15	4	SP
A0A447G2Y8	3	12	3	SP
A0A447G3F9	6	19	5	SP
A0A447G431	4	13	9	SP
A0A447G468	2	13	3	SP
A0A447G664	3	15	3	SP
A0A447G1B3	9	13	4	SP
A0A447G1H0	2	13	11	SP
A0A447G2T2	3	11	6	SP
A0A447G326	3	18	5	SP
A0A447G662	4	18	10	SP
A0A447G729	6	21	9	SP
A0A447G2Q3	11	19	5	SP
A0A447G318	4	17	5	SP
A0A447G1C6	2	13	4	SP
A0A447G1N2	2	11	7	SP
A0A447G248	2	15	5	SP
A0A447G2X0	3	18	5	SP
A0A447G573	2	10	6	SP
A0A447G5F8	4	17	7	SP
A0A447G2P2	2	17	5	SP
A0A447G2P8	4	17	5	SP
A0A447G2Z6	4	16	5	SP
A0A447G301	8	17	5	SP
A0A447G3C1	4	14	5	SP
A0A447G3K4	4	16	4	SP
A0A447G440	5	17	12	SP
A0A447G7D2	3	13	5	SP
A0A447G7E0	5	18	5	SP
A0A447G2H3	2	9	9	SP
A0A447G2T6	18	19	16	SP
A0A447G2Z8	2	14	6	SP
A0A447G307	10	14	8	SP
A0A447G3H4	2	16	4	SP
A0A447G507	3	15	5	SP
A0A447G6H1	2	10	6	SP
A0A447G6M2	6	18	10	SP
A0A447G2G8	12	19	8	SP
A0A447G2J5	2	17	6	SP
A0A447G2R4	3	14	7	SP
A0A447G3F6	4	17	5	SP
A0A447G542	16	14	6	SP
A0A447G6A5	3	12	0	LIPO
A0A447G707	2	16	4	SP
A0A447G1Q4	2	16	3	SP
A0A447G1Y7	2	13	6	SP
A0A447G2H1	5	17	6	SP
A0A447G2R3	3	17	3	SP
A0A447G2W7	4	16	6	SP
A0A447G337	3	16	6	SP
A0A447G3A8	5	16	11	SP
A0A447G4T1	19	17	4	SP
A0A447G5M0	3	12	5	SP
A0A447G650	3	18	5	SP
A0A447G6Q0	2	13	11	SP
A0A447G6Y0	2	15	6	SP
A0A447G2F8	5	17	6	SP
A0A447G2G7	2	17	6	SP
A0A447G2K8	3	11	5	SP
A0A447G2N1	2	25	0	LIPO
A0A447G308	2	13	6	SP
A0A447G418	4	17	7	SP
A0A447G7B5	3	14	12	SP
A0A447G1E0	4	11	17	SP
A0A447G1J2	3	16	8	SP
A0A447G1P6	2	18	9	SP
A0A447G1Y3	2	13	6	SP
A0A447G215	2	13	3	SP
A0A447G2H2	3	8	5	SP
A0A447G4K9	21	13	5	SP
A0A447G4Z4	3	17	7	SP
A0A447G508	2	13	3	SP
A0A447G5D0	4	13	3	SP
A0A447G5G8	0	11	3	LIPO
A0A447G614	11	16	7	SP
A0A447G6K7	35	18	6	SP
A0A447G743	2	13	5	SP
A0A447G7E2	4	15	6	SP
A0A447G2K3	4	20	6	SP
A0A447G325	2	12	9	SP
A0A447G4Y8	2	18	0	LIPO
A0A447G6J0	2	15	3	SP
A0A447G1I8	2	19	4	SP
A0A447G2Q5	0	14	6	LIPO
A0A447G354	2	15	10	SP
A0A447G1D5	4	17	7	SP
A0A447G1T2	19	16	5	SP
A0A447G2C0	3	10	5	SP
A0A447G2F0	2	13	6	SP
A0A447G2L7	3	17	5	SP
A0A447G2P7	8	17	5	SP
A0A447G2W5	3	16	6	SP
A0A447G2X6	3	17	4	SP
A0A447G2Z0	15	15	6	SP
A0A447G3N0	2	12	5	SP
A0A447G3N3	6	19	5	SP
A0A447G4Y7	6	27	3	SP
A0A447G5M4	3	16	5	SP
A0A447G5W6	5	19	8	SP
A0A447G6X6	2	15	5	SP
A0A447G3T3	3	14	5	SP
A0A447G4N9	2	14	5	SP
A0A447G506	8	22	6	SP
A0A447G6R2	3	16	6	SP
A0A447G7J0	3	18	3	SP
A0A447G2I7	4	13	4	SP
A0A447G3Q0	3	14	3	SP
A0A447G3S5	3	20	6	SP
A0A447G4Y0	3	12	8	SP
A0A447G514	16	24	6	TAT
A0A447G655	2	20	4	SP
A0A447G692	3	15	0	LIPO
A0A447G7G6	16	15	5	SP
A0A447G2G9	2	16	5	SP
A0A447G2R8	6	19	4	SP
A0A447G349	3	17	4	SP
A0A447G3V7	2	16	5	SP
A0A447G452	2	13	5	SP
A0A447G5T4	2	14	6	SP
A0A447G751	2	14	5	SP
A0A447G784	2	14	6	SP
A0A447G197	2	16	5	SP
A0A447G1U4	4	13	5	SP
A0A447G204	2	16	5	SP
A0A447G2Q4	3	17	5	SP
A0A447G3Q5	4	18	7	SP
A0A447G5Y3	9	13	5	SP
A0A447G674	4	14	5	SP
